Gender,Race/Hispanic,Language,Current_Grade,Counselor,Grade_12_Year,City,State,ZIP,HH_Language,Translation_Req,PGP,Credential_Type,2017,2018,2019,2020,2021,2-D_Art_and_Design,Biology_AP_Exam,Calculus_AB,Calculus_BC,Calculus_BC:_AB_Subscore,Chemistry_AP_Exam,Computer_Science_Principles,Computer_Science_A,Chinese_Language_and_Culture,Drawing,English_Language_and_Composition,English_Literature_and_Composition,Environmental_Science,European_History,French_Language_and_Culture,Music_Aural_Subscore,Music_Non-Aural_Subscore,Music_Theory,Physics_1,Physics_C:_Electricity_and_Magnetism,Physics_C:_Mechanics,Spanish_Language_and_Culture,United_States_History,World_History:_Modern,Math_8_Final,Science_8_Final,English_8_Final,Math_9_Final,Science_9_Final,English_9_Final,Math_10_Final,Science_10_Final,English_10_Final,Math_11_Final,Science_11_Final,English_11_Final,Math_12_Final,Science_12_Final,English_12_Final,Math_Average,Science_Average,English_Average,Math_8_Course,Science_8_Course,English_8_Course,Math_9_Course,Science_9_Course,English_9_Course,Math_10_Course,Science_10_Course,English_10_Course,Math_11_Course,Science_11_Course,English_11_Course,Math_12_Course,Science_12_Course,English_12_Course,M_Math6,M_Math7,M_Math8,M_Algebra1,M_Geometry,M_Algebra2,M_Calculus,M_APCalculusAB,M_APCalculusBC,S_Science6,S_Science7,S_Science8,S_EarthScience,S_Biology,S_APBiology,S_Chemistry,S_APChemistry,S_Physics,S_AppliedPhysics,S_APPhysics,E_ELA6,E_ELA7,E_ELA8,E_ELA9,E_ELA10,E_ELA11,E_ELA12,E_APLanguage,E_APLiterature
Male,White/No,English,12,GC,2012,Somers,NY,10589,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,87,83,87,91,90,90,91,91,88,89,94,91,95,96,88.8,90.6,90.8,MA0810,SC0840,EN0820,MA0910,SC1010,EN0910,MA1010,SC1110,EN1010,MA1140,SCAP20,ENAP11,MAAP10,SCAP40,ENAP12,86,87,88,87,90,88,,91,,87,86,87,87,91,,91,89,,,95,84,84,83,90,91,94,96,94,96
Female,White/No,English,12,JD,2020,Carmel,NY,10512,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,V008812V,V008812V,,,2,,,,,,,,3,3,,,,,,,2,,,,,,92,97,96,93,92,94,90,88,92,90,91,99,86,99,100,90.2,93.4,96.2,MA0810,SC0840,EN0810,MA0910,SC1040,EN0940,MA1040,SC1140,EN1040,MA1140,SCAP40,ENAP11,MAAP10,SC0055,ENAP12,97,92,92,93,90,90,,86,,94,95,97,97,92,,88,,,,91,94,91,96,94,92,99,100,99,100
Female,White/No,English,9,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,96,97,,,,,,,,,,,,,94,96,97,1306P,1204P,1003P,,,,,,,,,,,,,98,98,94,,,,,,,97,98,,,,,,,,,,95,93,97,,,,,,
Female,White/No,English,12,GC,2011,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,88,86,71,84,86,77,83,84,78,54,87,,95,97,76.25,80.8,88,1309P,1205,1003P,MA0915,SC0910,EN0910,MA0040,SC1010,EN1010,MA0070,SC1110,ENAP11,,SC1210,EN1210,73,65,79,,77,,,,,75,79,88,84,83,,54,,95,,,84,86,86,86,84,87,97,87,
Male,White/No,English,12,GC,2015,Purdys,NY,10578,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,78,80,66,74,72,57,68,71,100,71,77,77,81,95,75.8,74.4,79,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA0050,SC1110,EN1110,MA1120,SC1210,EN1210,79,71,79,66,90,77,,,,70,76,78,74,68,,71,,81,,,83,71,80,72,71,77,95,,
Female,White/No,English,12,BL,2014,Somers,NY,10589,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,90,90,92,87,89,88,93,95,79,96,95,86,,98,87.8,91.5,93.4,MA0810,SC0840,EN0810,MA0910,SC1040,EN0940,MA1010,SC1110,EN1040,MA1110,SC1210,ENAP11,MA1210,,ENAP12,92,86,94,92,88,79,86,,,85,91,90,90,87,,93,,96,,,93,89,90,89,95,95,98,95,98
Male,White/No,English,12,GC,2009,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,75,78,68,79,82,71,78,91,91,89,94,78.75,80.25,86.25,,,,1570,220,11,349,220,21,MA1110,SC1110,EN1110,MA1210,SC1210,ENAP12,,,85,85,68,71,91,,,,,,,79,,78,,89,,,,,,78,82,91,94,,94
Female,White/No,English,10,BL,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/Yes,English,6,JG,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,12,BL,2016,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,71199291,,,,,,,,2,3,,,,,,,3,,,,,,,,,,,,,96,99,96,100,98,97,93,93,97,88,87,96,82,99,100,91.8,95.2,97.2,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP20,ENAP11,MAAP20,SC1210,ENAP12,99,98,96,96,100,93,,88,82,98,98,99,99,98,,93,87,99,,,96,93,96,97,97,96,100,96,100
Female,White/No,English,8,SQ,,Carmel,NY,10512,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,54,,,,,,,,66,69,,,,,,,,,,69,65,,,,,,,
Male,White/No,English,12,BL,2013,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,81,73,79,86,80,74,87,88,81,73,85,76,87,91,76.2,82.8,83.4,MA0810,SC0810,EN0810,MA0915,SC0910,EN0910,MA1010,SC1010,EN1010,MA1120,SC1110,EN1110,MA1210,SC1210,EN1210,81,68,71,,74,81,76,,,84,78,81,86,87,,73,,87,,,86,75,73,80,88,85,91,,
Female,White/No,English,12,BL,2013,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,97,94,92,97,96,88,91,97,93,92,100,,96,100,90.75,94.6,97.4,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP10,ENAP11,,SC1210,ENAP12,93,90,90,90,92,88,,93,,91,95,97,97,97,92,91,,96,,,96,93,94,96,97,100,100,100,100
Female,White/No,English,12,JD,2018,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,39623200,75540833,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,92,95,96,84,94,95,89,86,98,86,92,98,82,95,98,86.6,92.4,97,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SCAP30,ENAP11,MA1240,SC0055,ENAP12,93,96,92,92,84,89,82,,,96,94,95,95,94,,86,,,,,97,93,96,95,98,98,98,98,98
Female,White/No,English,12,BL,2014,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Local Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,79,83,70,72,76,100,75,82,83,81,93,87,,94,82,76.75,85.6,MA0810,SC0820,EN0830,MA0920,SC0920,EN0930,MA0050,SC0080,EN0935,MA1130,SC0085,EN1130,MA0085,,EN1230,85,84,70,70,,,,,,78,77,79,72,,,,,,,,,,,,,,,,
Male,White/No,English,12,GC,2012,Carmel,NY,10512,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,92,88,80,87,83,80,80,88,75,81,93,95,95,98,82.6,87,90,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA1210,SC1210,ENAP12,85,84,83,80,80,75,95,,,87,84,92,87,80,,81,,95,,,87,84,88,83,88,93,98,,98
Female,White/No,English,12,BL,2014,Carmel,NY,10512,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,95,92,96,93,91,95,96,94,93,98,95,96,,98,95.2,95.5,94,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP40,ENAP11,MAAP20,,ENAP12,95,97,96,96,96,95,,93,96,92,90,95,95,93,,96,,,,98,89,88,92,91,94,95,98,95,98
Male,American Indian/Alaska Native/No,English,12,BL,2012,Purdys,NY,10578,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,81,77,,71,70,72,72,85,86,88,80,83,75,92,83,77.4,80.8,MA0830,SC0820,EN0830,,SC0920,EN0930,MA0920,SC1020,EN0935,MA0075,SC0055,EN1120,MA1130,SC0015,EN0020,,70,72,72,,,,,,,83,81,71,72,,,,,,,75,77,,,,80,90,,
Female,White/No,English,4,,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,11,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,98,97,88,93,97,89,91,97,,,,,,,89.33333333,94,97,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,,,,,,,95,95,91,91,88,89,,,,95,97,98,98,93,,91,,,,,96,96,97,97,97,,,,
Male,White/No,English,12,GC,2008,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,84,88,86,86,85,80,80,98,81,96,94,96,,94,87.4,86.5,91.8,1708,1204,1003,311,221,10,314,237,57,318,240,35P,MA1210,,ENAP12,91,82,84,86,80,81,96,,,90,94,84,84,86,,80,,96,,,92,87,88,85,94,94,94,94,94
Female,White/No,English,8,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,87,,,,,,,,86,95,,,,,,,,,,91,89,,,,,,,
Female,White/No,English,12,JD,2020,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,96,87,82,91,84,83,84,87,83,,86,86,95,100,82.6,91.5,88.8,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1040,EN1010,MA1110,,EN1110,MA1210,SC1210,EN1210,85,80,79,82,83,83,86,,,87,85,96,91,84,,,,95,,,85,80,87,84,87,86,100,,
Male,White/No,English,12,BL,2011,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,88,75,82,81,78,72,80,67,76,69,84,77,94,90,77.8,82.4,78.8,1309P,1205,1003P,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA1210,SC1210,EN1210,81,77,82,82,72,76,77,,,80,83,88,81,80,,69,,94,,,71,68,75,78,67,84,90,,
Female,White/No,English,12,BL,2009,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,94,93,88,91,90,95,92,91,87,90,97,88,98,98,90,93,93.8,1708,1204,1003,324,221,10,349,237P,20,MA1140,SCAP10,ENAP11,MAAP10,SC1210,ENAP12,95.67,94,93,88,95,87,,88,,96,97,94,94,91,90,92,,98,,,97.67,93,93,90,91,97,98,97,98
Female,White/Yes,English,12,,,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/Yes,Spanish,9,JD,,Purdys,NY,10578,Spanish,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,71,71,73,65,65,,,,,,,,,,69.5,68,68,MA0810,SC0810,EN0810,MA0915,SC0910,EN0910,,,,,,,,,,78,72,66,,,,,,,,80,71,65,,,,,,,,80,,71,65,,,,,
Female,White/No,English,12,BL,2017,Somers,NY,10589,English,No,Attend 4 Year college in NYS,Regents with Honors,71195503,39612003,,,,2,,,,,,,,,,3,2,,,,,,,,,,,,,88,92,90,84,88,86,80,83,88,66,80,90,86,81,91,80.8,84.8,89,MA0810,SC0810,EN0810,MA0910,SC0910,EN0940,MA1010,SC1010,EN1040,MA1110,SC1110,ENAP11,MA1176,SC0055,ENAP12,86,77,88,84,80,66,,,,87,92,92,88,83,,80,,,,,92,90,90,86,88,90,91,90,91
Male,White/No,English,12,GC,2016,Brewster,NY,10509,Albanian,No,Attend 4 Year college in NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,83,85,85,86,91,72,87,88,69,86,91,65,,95,71.8,85.5,90,MA0840,SC0840,EN0810,MA1010,SC1010,EN0910,MA1110,SC1110,EN1010,MA1210,SC1210,EN1110,MA1240,,EN1210,77,73,68,68,85,72,65,,,79,81,83,83,86,,87,,86,,,75,74,85,91,88,91,95,,
Female,White/No,English,12,BL,2015,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,96,93,87,96,94,88,91,97,93,99,98,82,91,100,86.6,94.6,96.4,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SC1210,ENAP11,MAAP10,SCAP30,ENAP12,92,94,83,83,87,88,93,82,,94,97,96,96,96,96,91,,99,,,94,95,93,94,97,98,100,98,100
Male,White/No,English,12,BL,2011,Brewster,NY,10509,English,No,Attend other postsecondary school in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,85,89,70,70,70,,71,80,,86,,77,78,79.66666667,,,,MA0910,SC0040,EN0910,MA0040,SC1010,EN1010,,SC0055,EN1110,,SC1210,,81,71,84,84,70,,,,,83,79,,,70,,,,86,,,85,80,,89,70,80,,,
Female,White/Yes,English,12,BL,2012,Somers,NY,10589,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,81,91,65,65,72,79,85,86,72,70,92,87,97,97,78,79.6,87.6,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,ENAP11,MA1210,SC1210,ENAP12,86,73,87,65,79,72,87,,,88,83,81,65,85,,70,,97,,,88,89,91,72,86,92,97,92,97
Male,White/No,English,7,JG,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,84,,,,,,,,,,,78,,,,,,,,
Female,White/No,English,12,JD,2019,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents with Honors,,39609452,75539835,,,,,,,,,,,,,2,,,2,,,,,,,,,3,,93,96,95,90,93,89,87,84,90,80,93,95,86,93,99,87.2,91.8,93.6,MA0810,SC0840,EN0810,MA0910,SC1040,EN0940,MA1040,SC1140,EN1040,MA1140,SC1210,ENAP11,MA1240,SCAP40,ENAP12,92,94,93,90,87,80,86,,,92,94,96,96,93,,84,,93,,93,93,93,95,89,90,95,99,95,99
Male,White/No,English,1,,,Somers,NY,10589,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,12,BL,2009,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,90,90,86,90,88,88,84,86,90,88,94,95,89,90.2,90.4,1708,1204,1003,316,221,10,337,237P,20,MAAP10,SCAP30,ENAP11,MAAP30,SC1210,ENAP12,94,94,89,,90,90,,84,,95,93,93,93,90,,88,,94,,,94.67,92,93,86,88,90,95,90,95
Male,White/No,English,12,BL,2008,North Salem,NY,10560,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,82,85,81,80,79,65,66,66,78,60,68,,71,77,78.75,71.8,75,1708,1205,1003,311,211,11,314,220,21,390P,231,31,,SC0055,EN1210,89,88,79,81,65,0,,,,89,93,82,80,66,,60,,,,,87,85,85,79,66,68,77,,
Male,White/No,English,12,BL,2007,Somers,NY,10589,English,No,Attend 4 Year college in NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,92,89,89,93,88,96,95,91,92,91,92,83,89,92,90.6,92,90.4,1708,1204,1003,311,221,11,314,237,21,318,233,31,319P,240,41,81,95,94,89,96,92,83,,,84,93,92,92,93,,95,91,89,,,71,89,89,88,91,92,92,,
Female,White/No,English,7,JG,,Carmel,NY,10512,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,72,,,,,,,,,,,78,,,,,,,,
Male,White/No,English,12,,,Croton Falls,NY,10519,English,No,,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,
Female,White/No,English,12,BL,2014,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,92,85,86,91,87,76,88,92,81,93,80,93,97,86.6,85,92.2,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SCAP10,ENAP11,MAAP10,SC1210,ENAP12,96,94,89,89,85,87,92,80,,92,92,89,89,86,81,76,,93,,,92,86,92,91,88,93,97,93,97
Male,White/No,English,12,BL,2007,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,85,87,90,84,90,90,90,90,87,88,87,67,86,88,84.4,86.6,88.4,1309,1205,1003,311,211,11,314,220,20,318,231,35,319P,240,40P,79,76,88,90,90,87,67,,,78,79,85,84,90,,88,,86,,,80,81,87,90,90,,88,,88
Male,White/No,English,12,GC,2017,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents with Honors,71195601,39609282,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,83,89,88,74,87,81,65,77,88,72,82,83,67,,86,72.2,83.75,85.2,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1110,EN1010,MA1210,SC1210,ENAP11,MA0095,,ENAP12,92,81,83,83,74,65,72,,,86,87,89,89,87,,77,,82,,,89,85,88,81,88,83,86,83,86
Male,White/No,English,12,GC,2016,Somers,NY,10589,English,No,Attend 4 Year college in NYS,Regents with Honors,70814714,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,80,87,88,92,92,93,88,97,94,90,90,88,90,98,91,88,92.8,90.8,MA0840,SC0840,EN0810,MA1010,SC1010,EN0910,MA1140,SC1110,EN1040,MA1210,SC1210,ENAP11,MA0095,SC0050,ENAP12,95,87,80,80,92,88,90,,,87,84,87,87,92,,97,,90,,,88,83,88,93,94,88,91,88,91
Male,White/No,English,-1,,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,12,,,Carmel,NY,10512,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,12,JD,2018,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,87,83,78,78,80,76,84,76,60,65,69,87,80,88,74.8,78.8,79.2,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA0095,SC1210,EN1210,81,82,73,78,76,60,,,,87,80,87,78,84,,65,,80,,,84,80,83,80,76,69,88,,
Female,White/No,English,12,,,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,12,GC,2017,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents with Honors,70801558,39607492,,,,,4,5,4,5,,,,,,4,3,,,3,,,,,,,,4,,92,96,95,95,96,93,91,93,98,87,94,98,86,94,99,90.2,94.6,96.6,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP10,ENAP11,MAAP20,SC1210,ENAP12,97,92,92,92,95,91,,87,86,93,96,96,96,96,94,93,,94,,,95,92,95,93,98,98,99,98,99
Male,White/No,English,12,BL,,Brewster,NY,10509,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,92,82,73,84,80,75,85,74,67,75,65,,,,75,84,75.25,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MAAP45,SC1110,EN1110,,,,78,58,85,73,75,,,,,77,76,92,84,85,,75,,,,,84,74,82,80,74,65,,,
Male,White/No,English,12,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,91,93,,,,,,,,,,,,,85,91,93,MA0810,SC0840,EN0810,,,,,,,,,,,,,92,89,85,,,,,,,87,88,91,91,,,,,,,,94,92,93,,,,,,
Female,White/No,English,12,GC,2014,North Salem,NY,10560,English,No,Attend 2 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,87,67,83,89,80,70,100,65,92,91,71.25,81.66666667,91.75,,,,MA0910,,EN0910,MA1010,SC1010,EN1010,MA0080,SC1110,EN1110,MA1120,SC1210,ENAP12,,,73,73,67,65,,,,,,,,83,,70,,92,,,,,,87,89,100,91,,91
Male,White/No,English,12,BL,2012,Purdys,NY,10578,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,89,89,73,82,79,78,85,84,76,71,78,0,73,98,61.6,80,85.6,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA0040,SC1010,EN1010,MA1010,SC1110,EN1110,MA1110,SC1210,EN1210,78,81,81,73,76,0,,,,77,84,89,82,85,,71,,73,,,77,87,89,79,84,78,98,,
Female,White/No,English,10,,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,10,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,96,96,95,96,99,,,,,,,,,,94.5,96,97.5,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,,,,,,,,,,95,98,94,94,95,,,,,96,96,96,96,96,,,,,,,95,96,96,99,,,,,
Male,White/No,English,12,,,Brewster,NY,10509,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,74,81,79,71,81,75,74,80,,,,,,,84.66666667,73,80.66666667,MA0855,SC0820,EN0835,MA0930,LS0920,EN0930,MA1150,SC1020,EN0935,,,,,,,,,,,,,,,,77,,74,,74,,,,,,,,,,,,,,,
Female,White/No,English,12,GC,2014,Pleasant Valley,NY,12569,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,95,96,87,92,97,90,100,99,95,,100,,99,100,90.25,96.5,98.4,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,,ENAP11,,SC1210,ENAP12,97,94,89,89,87,90,95,,,91,92,95,95,92,,100,,99,,,96,96,96,97,99,100,100,100,100
Female,White/No,English,12,,,Somers,NY,10589,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black/African American/No,English,12,,,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,12,GC,2014,North Salem,NY,10560,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,76,73,68,65,65,66,69,78,70,73,82,82,92,75,70.4,75,74.6,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA0040,SC1010,EN1010,MA1120,SC0030,EN1110,MA0095,SC1210,EN1210,,59,66,68,66,70,,,,,71,76,65,69,,,,92,,,,66,73,65,78,82,75,,
Female,Multiracial/No,English,12,,,Somers,NY,10589,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,89,,,,,,,,,,,91,,,,,,,,
Male,White/No,English,12,GC,2015,North Salem,NY,10560,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,73,70,100,81,70,78,65,67,0,,65,,100,,65.75,79.75,68,MA0830,SC0820,EN0736,MA0050,LS0920,EN0930,MA1150,SC1020,EN1020,MA0050,,EN1120,,SC0052,,,,,,,,,,,,100,73,,65,,,,,,,,,,,67,65,,,
Male,White/No,English,12,JD,,Somers,NY,10589,English,No,,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,87,81,,,,,,,,,,,,,74,87,81,MA0840,SC0840,EN0810,,,,,,,,,,,,,90,81,74,74,,,,,,93,91,87,87,,,,,,,,83,85,81,,,,,,
Male,White/No,English,12,GC,2012,Carmel,NY,10512,English,No,Attend 4 Year college in NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,91,90,90,94,91,87,90,95,94,82,95,,92,94,89,89.8,93,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MA0080,SCAP10,ENAP11,,SC1210,ENAP12,93,96,85,85,90,87,,,,91,91,91,91,94,82,90,,92,,,91,90,90,91,95,95,94,95,94
